num_circuit,num_qubits_each_circuit,dataset,average_throughput
2,2,FFD,1824.0
2,2,MILQ,1824.0
2,2,MTMC,1824.0
2,2,NoTaDS,40.25
2,3,FFD,2752.0
2,3,MILQ,2752.0
2,3,MTMC,2752.0
2,3,NoTaDS,352.75
2,4,FFD,7600.0
2,4,MILQ,7600.0
2,4,MTMC,11088.0
2,4,NoTaDS,784.5
2,5,FFD,11088.0
2,5,MILQ,11088.0
2,5,MTMC,7600.0
2,5,NoTaDS,1840.0
2,6,FFD,3840.0
2,6,MILQ,5544.0
2,6,MTMC,5544.0
2,6,NoTaDS,3760.0
2,7,FFD,6456.0
2,7,MILQ,4712.0
2,7,MTMC,5544.0
2,7,NoTaDS,4640.0
2,8,FFD,5176.0
2,8,MILQ,5176.0
2,8,MTMC,5176.0
2,8,NoTaDS,5520.0
2,9,FFD,11088.0
2,9,MILQ,11088.0
2,9,MTMC,7600.0
2,9,NoTaDS,9344.0
2,10,FFD,9344.0
2,10,MILQ,7600.0
2,10,MTMC,9344.0
2,10,NoTaDS,18688.0
3,2,FFD,1216.0
3,2,MILQ,1216.0
3,2,MTMC,1216.0
3,2,NoTaDS,27.0
3,3,FFD,3669.3333333333335
3,3,MILQ,3669.3333333333335
3,3,MTMC,3669.3333333333335
3,3,NoTaDS,469.3333333333333
3,4,FFD,12458.666666666666
3,4,MILQ,14784.0
3,4,MTMC,14784.0
3,4,NoTaDS,784.3333333333334
3,5,FFD,12458.666666666666
3,5,MILQ,14784.0
3,5,MTMC,12458.666666666666
3,5,NoTaDS,1840.0
3,6,FFD,7392.0
3,6,MILQ,3696.0
3,6,MTMC,7392.0
3,6,NoTaDS,3760.0
3,7,FFD,6229.333333333333
3,7,MILQ,6837.333333333333
3,7,MTMC,6229.333333333333
3,7,NoTaDS,4640.0
3,8,FFD,7146.666666666667
3,8,MILQ,14730411.666666666
3,8,MTMC,8309.333333333334
3,8,NoTaDS,5520.0
3,9,FFD,7600.0
3,9,MILQ,44243.791666666664
3,9,MTMC,9925.333333333334
3,9,NoTaDS,8762.666666666666
3,10,FFD,7600.0
3,10,MILQ,8762.666666666666
3,10,MTMC,8762.666666666666
3,10,NoTaDS,17525.333333333332
4,2,FFD,912.0
4,2,MILQ,912.0
4,2,MTMC,912.0
4,2,NoTaDS,20.375
4,3,FFD,2752.0
4,3,MILQ,2752.0
4,3,MTMC,2752.0
4,3,NoTaDS,352.375
4,4,FFD,9344.0
4,4,MILQ,9344.0
4,4,MTMC,9344.0
4,4,NoTaDS,784.25
4,5,FFD,11088.0
4,5,MILQ,9344.0
4,5,MTMC,9344.0
4,5,NoTaDS,1840.0
4,6,FFD,3820.0
4,6,MILQ,4692.0
4,6,MTMC,5544.0
4,6,NoTaDS,3760.0
4,7,FFD,5128.0
4,7,MILQ,9390.031243875
4,7,MTMC,4672.0
4,7,NoTaDS,4640.0
4,8,FFD,5176.0
4,8,MILQ,5688.25
4,8,MTMC,6048.0
4,8,NoTaDS,5520.0
4,9,FFD,10216.0
4,9,MILQ,12989.87499625
4,9,MTMC,9344.0
4,9,NoTaDS,9344.0
4,10,FFD,8472.0
4,10,MILQ,12272.0
4,10,MTMC,11088.0
4,10,NoTaDS,19560.0
5,2,FFD,1459.2
5,2,MILQ,1459.2
5,2,MTMC,1459.2
5,2,NoTaDS,16.4
5,3,FFD,3302.4
5,3,MILQ,3840.0
5,3,MTMC,3302.4
5,3,NoTaDS,422.4
5,4,FFD,10515.2
5,4,MILQ,4480.0
5,4,MTMC,11910.4
5,4,NoTaDS,784.2
5,5,FFD,9120.0
5,5,MILQ,5555.2
5,5,MTMC,11910.4
5,5,NoTaDS,1840.0
5,6,FFD,4560.0
5,6,MILQ,171794.56
5,6,MTMC,6652.8
5,6,NoTaDS,3760.0
5,7,FFD,5955.2
5,7,MILQ,5116.3
5,7,MTMC,5257.6
5,7,NoTaDS,4640.0
5,8,FFD,6358.4
5,8,MILQ,3957.6000214
5,8,MTMC,7056.0
5,8,NoTaDS,5520.0
5,9,FFD,8995.2
5,9,MILQ,8174.100050999999
5,9,MTMC,8995.2
5,9,NoTaDS,8297.6
5,10,FFD,9692.8
5,10,MILQ,5259.2312203
5,10,MTMC,8995.2
5,10,NoTaDS,20780.8
6,2,FFD,1216.0
6,2,MILQ,1216.0
6,2,MTMC,1216.0
6,2,NoTaDS,26.666666666666668
6,3,FFD,2752.0
6,3,MILQ,2560.0
6,3,MTMC,2752.0
6,3,NoTaDS,352.25
6,4,FFD,9925.333333333334
6,4,MILQ,7392.0
6,4,MTMC,9925.333333333334
6,4,NoTaDS,784.1666666666666
6,5,FFD,8762.666666666666
6,5,MILQ,1834437.8333333333
6,5,MTMC,11088.0
6,5,NoTaDS,1840.0
6,6,FFD,4394.666666666667
6,6,MILQ,2000623.6666666667
6,6,MTMC,4394.666666666667
6,6,NoTaDS,3760.0
6,7,FFD,4989.333333333333
6,7,MILQ,348374708898.6667
6,7,MTMC,6229.333333333333
6,7,NoTaDS,4640.0
6,8,FFD,5176.0
6,8,MILQ,2483898.25
6,8,MTMC,5757.333333333333
6,8,NoTaDS,5520.0
6,9,FFD,9344.0
6,9,MILQ,11773.333333333334
6,9,MTMC,9925.333333333334
6,9,NoTaDS,9344.0
6,10,FFD,9925.333333333334
6,10,MILQ,10566692.0
6,10,MTMC,8762.666666666666
6,10,NoTaDS,18106.666666666668
7,2,FFD,1042.2857142857142
