num_circuits,num_qubits_per_circuit,algorithm,average_turnaroundTime
2,2,FFD,3648.0
2,2,MILQ,3648.0
2,2,MTMC,3648.0
2,2,NoTaDS,81.5
2,3,FFD,5504.0
2,3,MILQ,5504.0
2,3,MTMC,5504.0
2,3,NoTaDS,1865.75
2,4,FFD,15200.0
2,4,MILQ,22176.0
2,4,MTMC,18688.0
2,4,NoTaDS,5353.0
2,5,FFD,18688.0
2,5,MILQ,22176.0
2,5,MTMC,15200.0
2,5,NoTaDS,7168.75
2,6,FFD,20512.0
2,6,MILQ,17024.0
2,6,MTMC,11208.0
2,6,NoTaDS,13520.0
2,7,FFD,24000.0
2,7,MILQ,17024.0
2,7,MTMC,12080.0
2,7,NoTaDS,35280.0
2,8,FFD,17952.0
2,8,MILQ,19016.0
2,8,MTMC,19016.0
2,8,NoTaDS,46720.0
2,9,FFD,29776.0
2,9,MILQ,31520.0
2,9,MTMC,28032.0
2,9,NoTaDS,43232.0
2,10,FFD,24544.0
2,10,MILQ,28032.0
2,10,MTMC,28032.0
2,10,NoTaDS,51952.0
3,2,FFD,3648.0
3,2,MTMC,3648.0
3,2,NoTaDS,82.5
3,3,FFD,7338.666666666667
3,3,MTMC,7338.666666666667
3,3,NoTaDS,3014.5
3,4,FFD,29568.0
3,4,MTMC,20266.666666666668
3,5,FFD,27242.666666666668
3,5,MTMC,24917.333333333332
3,6,FFD,17813.333333333332
3,6,MTMC,10240.0
3,7,FFD,22490.666666666668
3,7,MTMC,19194.666666666668
3,8,FFD,30912.0
3,8,MTMC,27680.0
3,9,FFD,42026.666666666664
3,9,MTMC,35050.666666666664
3,10,FFD,37376.0
3,10,MTMC,43189.333333333336
5,2,MTMC,354.56000000000006
5,2,NoTaDS,8.020000000000001
