num_circuit,num_qubits_each_circuit,dataset,average_utilization
2,2,FFD,0.8
2,2,MILQ,0.8
2,2,MTMC,0.4
2,2,NoTaDS,0.39263803680981596
2,3,FFD,0.6
2,3,MILQ,0.6
2,3,MTMC,0.6
2,3,NoTaDS,0.8176453738183902
2,4,FFD,0.8
2,4,MILQ,0.8
2,4,MTMC,0.8
2,4,NoTaDS,0.78224171005755
2,5,FFD,1.0
2,5,MILQ,1.0
2,5,MTMC,1.0
2,5,NoTaDS,0.8730538922155688
2,6,FFD,0.996875
2,6,MILQ,0.9978510028653295
2,6,MTMC,0.9978510028653295
2,6,NoTaDS,0.6
2,7,FFD,0.9858736059479554
2,7,MILQ,0.9806451612903226
2,7,MTMC,0.9858736059479554
2,7,NoTaDS,0.7602312138728323
2,8,FFD,0.907062744011936
2,8,MILQ,0.9204624277456649
2,8,MTMC,0.9204624277456649
2,8,NoTaDS,0.8
2,9,FFD,0.9
2,9,MILQ,0.9093321917808218
2,9,MTMC,0.8813356164383561
2,9,NoTaDS,0.8897072710103873
2,10,FFD,1.0
2,10,MILQ,1.0
2,10,MTMC,1.0
2,10,NoTaDS,1.0
3,2,FFD,0.6
3,2,MILQ,0.6
3,2,MTMC,0.6
3,2,NoTaDS,0.5818181818181818
3,3,FFD,0.6
3,3,MILQ,0.6
3,3,MTMC,0.6
3,3,NoTaDS,0.6137614678899083
3,4,FFD,0.8
3,4,MILQ,0.8
3,4,MTMC,0.8
3,4,NoTaDS,0.7823131737621049
3,5,FFD,1.0
3,5,MILQ,1.0
3,5,MTMC,1.0
3,5,NoTaDS,0.8730538922155688
3,6,FFD,0.9979166666666668
3,6,MILQ,0.9979166666666668
3,6,MTMC,0.998567335243553
3,6,NoTaDS,0.6
3,7,FFD,0.9351351351351351
3,7,MILQ,0.9591965388652721
3,7,MTMC,0.9351351351351351
3,7,NoTaDS,0.7565839293226756
3,8,FFD,0.8939155267781711
3,8,MILQ,0.0071516895932046826
3,8,MTMC,0.9029952368428742
3,8,NoTaDS,0.8
3,9,FFD,0.8867315885575167
3,9,MILQ,0.001834020255421482
3,9,MTMC,0.8916724854568402
3,9,NoTaDS,0.9
3,10,FFD,1.0
3,10,MILQ,0.6964921215391432
3,10,MTMC,1.0
3,10,NoTaDS,1.0
4,2,FFD,0.8
4,2,MILQ,0.8
4,2,MTMC,0.8
4,2,NoTaDS,0.7664670658682635
4,3,FFD,0.6
4,3,MILQ,0.6
4,3,MTMC,0.6
4,3,NoTaDS,0.8179968476859149
4,4,FFD,0.8
4,4,MILQ,0.8
4,4,MTMC,0.8
4,4,NoTaDS,0.782348910511169
4,5,FFD,1.0
4,5,MILQ,1.0
4,5,MTMC,1.0
4,5,NoTaDS,0.8730538922155688
4,6,FFD,0.9994764397905758
4,6,MILQ,0.15756832066594662
4,6,MTMC,0.9995737425404945
4,6,NoTaDS,0.6
4,7,FFD,0.9816857142857142
4,7,MILQ,0.9340773262939127
4,7,MTMC,0.9836676217765042
4,7,NoTaDS,0.757557063541024
4,8,FFD,0.914728568370187
4,8,MILQ,0.5857459116401342
4,8,MTMC,0.908994708994709
4,8,NoTaDS,0.8
4,9,FFD,0.9
4,9,MILQ,1.6288773273851629
4,9,MTMC,0.9
4,9,NoTaDS,0.9048944768747195
4,10,FFD,1.0
4,10,MILQ,0.6337364515361822
4,10,MTMC,1.0
4,10,NoTaDS,1.0
5,2,FFD,0.7
5,2,MILQ,0.7
5,2,MTMC,0.7
5,2,NoTaDS,0.9467455621301774
5,3,FFD,0.6
5,3,MILQ,0.6
5,3,MTMC,0.6
5,3,NoTaDS,0.6819571865443425
5,4,FFD,0.8
5,4,MILQ,0.8
5,4,MTMC,0.8
5,4,NoTaDS,0.7823703541278368
5,5,FFD,1.0
5,5,MILQ,1.0
5,5,MTMC,1.0
5,5,NoTaDS,0.8730538922155688
5,6,FFD,1.0
5,6,MILQ,0.9942393297508119
5,6,MTMC,1.0
5,6,NoTaDS,0.6
5,7,FFD,0.9558823529411764
5,7,MILQ,0.9188903802367406
5,7,MTMC,0.967013888888889
5,7,NoTaDS,0.7501882421083116
5,8,FFD,0.9145395108621788
5,8,MILQ,0.8996624525133974
5,8,MTMC,0.9103227874594516
5,8,NoTaDS,0.8
5,9,FFD,0.8844895055140519
5,9,MILQ,0.8812144150184608
5,9,MTMC,0.902588914896479
5,9,NoTaDS,0.8962671232876712
5,10,FFD,1.0
5,10,MILQ,1.1695990322039849
5,10,MTMC,1.0
5,10,NoTaDS,1.0
