num_circuits,num_qubits_per_circuit,algorithm,makespan
2,2,FFD,3648.0
2,2,MILQ,3648.0
2,2,MTMC,3648.0
2,2,NoTaDS,163.0
2,3,FFD,5504.0
2,3,MILQ,5504.0
2,3,MTMC,5504.0
2,3,NoTaDS,3491.0
2,4,FFD,15200.0
2,4,MILQ,22176.0
2,4,MTMC,22176.0
2,4,NoTaDS,7298.0
2,5,FFD,22176.0
2,5,MILQ,22176.0
2,5,MTMC,15200.0
2,5,NoTaDS,10688.0
2,6,FFD,22336.0
2,6,MILQ,22176.0
2,6,MTMC,22336.0
2,6,NoTaDS,21696.0
2,7,FFD,25824.0
2,7,MILQ,18848.0
2,7,MTMC,25824.0
2,7,NoTaDS,48384.0
2,8,FFD,20704.0
2,8,MILQ,27680.0
2,8,MTMC,27680.0
2,8,NoTaDS,74752.0
2,9,FFD,44352.0
2,9,MILQ,44352.0
2,9,MTMC,37376.0
2,9,NoTaDS,67776.0
2,10,FFD,37376.0
2,10,MILQ,37376.0
2,10,MTMC,44352.0
2,10,NoTaDS,81728.0
3,2,FFD,3648.0
3,2,MTMC,3648.0
3,2,NoTaDS,165.0
3,3,FFD,11008.0
3,3,MTMC,11008.0
3,3,NoTaDS,6976.0
3,4,FFD,44352.0
3,4,MTMC,30400.0
3,5,FFD,37376.0
3,5,MTMC,37376.0
3,6,FFD,30400.0
3,6,MTMC,30400.0
3,7,FFD,37376.0
3,7,MTMC,44352.0
3,8,FFD,42880.0
3,8,MTMC,49856.0
3,9,FFD,66528.0
3,9,MTMC,52576.0
3,10,FFD,59552.0
3,10,MTMC,66528.0
5,2,MTMC,729.6
5,2,NoTaDS,16.04
