num_circuit,dataset,sampling_overhead
2,FFD,18.0
2,MILQ,18.0
2,MTMC,18.0
2,NoTODS,0.0
3,FFD,27.0
3,MILQ,27.0
3,MTMC,27.0
3,NoTODS,0.0
4,FFD,36.0
4,MILQ,36.0
4,MTMC,36.0
4,NoTODS,0.0
5,FFD,45.0
5,MILQ,45.0
5,MTMC,45.0
5,NoTODS,0.0
6,FFD,54.0
6,MILQ,54.0
6,MTMC,54.0
6,NoTODS,0.0
7,FFD,63.0
7,MILQ,63.0
7,MTMC,63.0
7,NoTODS,0.0
8,FFD,72.0
8,MILQ,72.0
8,MTMC,72.0
8,NoTODS,0.0
9,FFD,81.0
9,MILQ,81.0
9,MTMC,81.0
9,NoTODS,0.0
10,FFD,90.0
10,MILQ,90.0
10,MTMC,90.0
10,NoTODS,0.0
11,FFD,99.0
11,MILQ,99.0
11,MTMC,99.0
11,NoTODS,0.0
12,FFD,108.0
12,MILQ,108.0
12,MTMC,108.0
12,NoTODS,0.0
13,FFD,117.0
13,MILQ,117.0
13,MTMC,117.0
13,NoTODS,0.0
14,FFD,126.0
14,MILQ,126.0
14,MTMC,126.0
14,NoTODS,0.0
15,FFD,135.0
15,MILQ,135.0
15,MTMC,135.0
15,NoTODS,0.0
16,FFD,144.0
16,MILQ,144.0
16,MTMC,144.0
16,NoTODS,0.0
17,FFD,153.0
17,MILQ,153.0
17,MTMC,153.0
17,NoTODS,0.0
18,FFD,162.0
18,MILQ,162.0
18,MTMC,162.0
18,NoTODS,0.0
19,FFD,171.0
19,MILQ,171.0
19,MTMC,171.0
19,NoTODS,0.0
20,FFD,180.0
20,MTMC,180.0
20,NoTODS,0.0
