num_circuit,dataset,average_responseTime
2,FFD,0.0
2,MILQ,0.0
2,MTMC,0.0
2,NoTODS,41.75
3,FFD,1834.6666666666667
3,MILQ,1834.6666666666667
3,MTMC,1834.6666666666667
3,NoTODS,497.1666666666667
4,FFD,2336.0
4,MILQ,2336.0
4,MTMC,2336.0
4,NoTODS,745.25
5,FFD,4070.4
5,MILQ,7680.0
5,MTMC,4070.4
5,NoTODS,1159.4
6,FFD,4672.0
6,MILQ,4757.333333333333
6,MTMC,4672.0
6,NoTODS,1449.0833333333333
7,FFD,6363.428571428572
7,MILQ,6272.0
7,MTMC,6363.428571428572
7,NoTODS,1845.5
8,FFD,7008.0
8,MILQ,8320.0
8,MTMC,7008.0
8,NoTODS,2153.0
9,FFD,8675.555555555555
9,MILQ,8234.666666666666
9,MTMC,8675.555555555555
9,NoTODS,2539.5555555555557
10,FFD,9344.0
10,MILQ,9040.826752340003
10,MTMC,9344.0
10,NoTODS,2856.95
11,FFD,10996.363636363636
11,MILQ,11291.297829636362
11,MTMC,10996.363636363636
11,NoTODS,3237.2272727272725
12,FFD,11680.0
12,MILQ,11326.000267833333
12,MTMC,11680.0
12,NoTODS,3560.9166666666665
13,FFD,13321.846153846154
13,MILQ,12497.236879230768
13,MTMC,13321.846153846154
13,NoTODS,3936.846153846154
14,FFD,14016.0
14,MILQ,14016.000499996999
14,MTMC,14016.0
14,NoTODS,4264.892857142857
15,FFD,15650.133333333333
15,MILQ,17200.650297600005
15,MTMC,15650.133333333333
15,NoTODS,4637.633333333333
16,FFD,16352.0
16,MILQ,17904.0
16,MTMC,16352.0
16,NoTODS,4968.875
17,FFD,17980.235294117647
17,MILQ,17280.0
17,MTMC,17980.235294117647
17,NoTODS,5339.176470588235
18,FFD,18688.0
18,MILQ,18154.666666666668
18,MTMC,18688.0
18,NoTODS,5672.861111111111
19,FFD,20311.57894736842
19,MILQ,19523.36842105263
19,MTMC,20311.57894736842
19,NoTODS,6041.236842105263
20,FFD,21024.0
20,MTMC,21024.0
20,NoTODS,6376.85
