num_circuit,dataset,average_turnaroundTime
2,FFD,4672.0
2,MILQ,4672.0
2,MTMC,4672.0
2,NoTODS,825.75
3,FFD,6784.0
3,MILQ,6784.0
3,MTMC,6784.0
3,NoTODS,1281.1666666666667
4,FFD,7008.0
4,MILQ,7008.0
4,MTMC,7008.0
4,NoTODS,1529.25
5,FFD,8908.8
5,MILQ,11520.0
5,MTMC,8908.8
5,NoTODS,1943.4
6,FFD,9344.0
6,MILQ,9152.0
6,MTMC,9344.0
6,NoTODS,2233.0833333333335
7,FFD,11154.285714285714
7,MILQ,10587.42857142857
7,MTMC,11154.285714285714
7,NoTODS,2629.5
8,FFD,11680.0
8,MILQ,13200.0
8,MTMC,11680.0
8,NoTODS,2937.0
9,FFD,13440.0
9,MILQ,12629.333333333334
9,MTMC,13440.0
9,NoTODS,3323.5555555555557
10,FFD,14016.0
10,MILQ,13546.426752340001
10,MTMC,14016.0
10,NoTODS,3640.95
11,FFD,15744.0
11,MILQ,15585.116011454544
11,MTMC,15744.0
11,NoTODS,4021.2272727272725
12,FFD,16352.0
12,MILQ,15859.333601166667
12,MTMC,16352.0
12,NoTODS,4344.916666666667
13,FFD,18057.846153846152
13,MILQ,16977.236879230768
13,MTMC,18057.846153846152
13,NoTODS,4720.846153846154
14,FFD,18688.0
14,MILQ,18688.000499997
14,MTMC,18688.0
14,NoTODS,5048.892857142857
15,FFD,20377.6
15,MILQ,22039.0502976
15,MTMC,20377.6
15,NoTODS,5421.633333333333
16,FFD,21024.0
16,MILQ,22160.0
16,MTMC,21024.0
16,NoTODS,5752.875
17,FFD,22701.176470588234
17,MILQ,21707.29411764706
17,MTMC,22701.176470588234
17,NoTODS,6123.176470588235
18,FFD,23360.0
18,MILQ,22641.777777777777
18,MTMC,23360.0
18,NoTODS,6456.861111111111
19,FFD,25027.36842105263
19,MILQ,24151.57894736842
19,MTMC,25027.36842105263
19,NoTODS,6825.236842105263
20,FFD,25696.0
20,MTMC,25696.0
20,NoTODS,7160.85
