num_circuit,dataset,average_fidelity
2,FFD,0.8168796317269942
2,MILQ,0.8144320444826023
2,MTMC,0.8200057822064706
2,NoTODS,0.9565894447936716
3,FFD,0.8094322340456263
3,MILQ,0.8075653778294044
3,MTMC,0.8144816567581711
3,NoTODS,0.9544271332943461
4,FFD,0.7951359380024663
4,MILQ,0.8227411371793194
4,MTMC,0.8108998870259749
4,NoTODS,0.9547358236275668
5,FFD,0.8181875610248939
5,MILQ,0.8254272266425264
5,MTMC,0.818022394834431
5,NoTODS,0.9548274637261919
6,FFD,0.8099619022279795
6,MILQ,0.8111848803534277
6,MTMC,0.7995444279888799
6,NoTODS,0.955361821283398
7,FFD,0.8128347314989657
7,MILQ,0.8283278141220869
7,MTMC,0.8123652508017004
7,NoTODS,0.9530792326384667
8,FFD,0.8041865002434536
8,MILQ,0.824980200431
8,MTMC,0.8120177862307825
8,NoTODS,0.953227907460218
9,FFD,0.8168275046106298
9,MILQ,0.82121944619927
9,MTMC,0.8081383285447296
9,NoTODS,0.9519981351116624
10,FFD,0.8130822933224415
10,MILQ,0.8196617051255849
10,MTMC,0.8183993814873556
10,NoTODS,0.9523245166520672
11,FFD,0.8143145100487114
11,MILQ,0.8152067407581015
11,MTMC,0.8141552800306198
11,NoTODS,0.9531953844729824
12,FFD,0.8127968153588784
12,MILQ,0.809664812223307
12,MTMC,0.8069298363469816
12,NoTODS,0.9556803997799093
13,FFD,0.8133543051099225
13,MILQ,0.8175046978273419
13,MTMC,0.8126360266140011
13,NoTODS,0.9537669479622589
14,FFD,0.810811468245015
14,MILQ,0.8205384337958824
14,MTMC,0.8134821505067517
14,NoTODS,0.9533496012633569
15,FFD,0.8102408151482958
15,MILQ,0.8156311098861377
15,MTMC,0.8155106890671233
15,NoTODS,0.954447518982459
16,FFD,0.8076216213167265
16,MILQ,0.8119163463311149
16,MTMC,0.8176976032313852
16,NoTODS,0.9535836891020568
17,FFD,0.8175434163356783
17,MILQ,0.8101347814907889
17,MTMC,0.8159167695829432
17,NoTODS,0.9525647669633496
18,FFD,0.814663832071121
18,MILQ,0.8191389933906871
18,MTMC,0.8110588602007882
18,NoTODS,0.9514742154900673
19,FFD,0.8145845541620683
19,MILQ,0.8140861888450971
19,MTMC,0.8127427820422874
19,NoTODS,0.9546133737067541
20,FFD,0.8165771334925059
20,MTMC,0.8086592655245383
20,NoTODS,0.955401007323313
