num_circuit,dataset,makespan
2,FFD,15200.0
2,MILQ,15200.0
2,MTMC,22176.0
2,NoTODS,3138.0
3,FFD,37376.0
3,MILQ,44352.0
3,MTMC,44352.0
3,NoTODS,4706.0
4,FFD,37376.0
4,MILQ,37376.0
4,MTMC,37376.0
4,NoTODS,6274.0
5,FFD,52576.0
5,MILQ,22400.0
5,MTMC,59552.0
5,NoTODS,7842.0
6,FFD,59552.0
6,MILQ,44352.0
6,MTMC,59552.0
6,NoTODS,9410.0
7,FFD,60800.0
7,MILQ,81743.000489
7,MTMC,74752.0
7,NoTODS,10978.0
8,FFD,81728.0
8,MILQ,52576.0
8,MTMC,67776.0
8,NoTODS,12546.0
9,FFD,89952.0
9,MILQ,67776.0
9,MTMC,76000.0
9,NoTODS,14114.0
10,FFD,96928.0
10,MILQ,82997.320572
10,MTMC,76000.0
10,NoTODS,15648.0
11,FFD,112128.0
11,MILQ,96944.000406
11,MTMC,119104.0
11,NoTODS,17090.0
12,FFD,105152.0
12,MILQ,696242790.0
12,MTMC,126080.0
12,NoTODS,18624.0
13,FFD,120352.0
13,MILQ,61600.0
13,MTMC,134304.0
13,NoTODS,20066.0
14,FFD,120352.0
14,MILQ,119104.0
14,MTMC,134304.0
14,NoTODS,21600.0
15,FFD,142528.0
15,MILQ,674039250.0
15,MTMC,156480.0
15,NoTODS,23042.0
16,FFD,163456.0
16,MILQ,127328.0
16,MTMC,149504.0
16,NoTODS,24576.0
17,FFD,178656.0
17,MILQ,149504.0
17,MTMC,178656.0
17,NoTODS,26018.0
18,FFD,164704.0
18,MILQ,24708878200.0
18,MTMC,143776.0
18,NoTODS,27552.0
19,FFD,172928.0
19,MILQ,10167528176.0
19,MTMC,214784.0
19,NoTODS,28994.0
20,FFD,165952.0
20,MTMC,172928.0
20,NoTODS,30528.0
