num_circuit,dataset,average_throughput
2,FFD,5176.0
2,MILQ,5176.0
2,MTMC,5176.0
2,NoTODS,5520.0
3,FFD,7146.666666666667
3,MILQ,14730411.666666666
3,MTMC,8309.333333333334
3,NoTODS,5520.0
4,FFD,5176.0
4,MILQ,5688.25
4,MTMC,6048.0
4,NoTODS,5520.0
5,FFD,6358.4
5,MILQ,3957.6000214
5,MTMC,7056.0
5,NoTODS,5520.0
6,FFD,5176.0
6,MILQ,2483898.25
6,MTMC,5757.333333333333
6,NoTODS,5520.0
7,FFD,7017.142857142857
7,MILQ,34763218.0
7,MTMC,6518.857142857143
7,NoTODS,5520.0
8,FFD,6920.0
8,MILQ,8040.0
8,MTMC,6048.0
8,NoTODS,5520.0
9,FFD,6608.0
9,MILQ,582088900.0
9,MTMC,5832.888888888889
9,NoTODS,5520.0
10,FFD,6222.4
10,MILQ,17556.3855
10,MTMC,6222.4
10,NoTODS,5520.0
11,FFD,6347.636363636364
11,MILQ,3890.909090909091
11,MTMC,6030.545454545455
11,NoTODS,5520.0
12,FFD,5466.666666666667
12,MILQ,7773.333333333333
12,MTMC,6629.333333333333
12,NoTODS,5520.0
13,FFD,6704.0
13,MILQ,5955.692307692308
13,MTMC,6435.692307692308
13,NoTODS,5520.0
14,FFD,5923.428571428572
14,MILQ,5878.857142857143
14,MTMC,5674.285714285715
14,NoTODS,5520.0
15,FFD,6035.2
15,MILQ,5895.637437576666
15,MTMC,6267.733333333334
15,NoTODS,5520.0
16,FFD,5394.0
16,MILQ,5440.0
16,MTMC,5830.0
16,NoTODS,5520.0
17,FFD,5523.764705882353
17,MILQ,7320.470588235294
17,MTMC,6344.470588235294
17,NoTODS,5520.0
18,FFD,6338.666666666667
18,MILQ,5951.111111111111
18,MTMC,5951.111111111111
18,NoTODS,5520.0
19,FFD,6037.894736842105
19,MILQ,87929.95
19,MTMC,6772.210526315789
19,NoTODS,5520.0
20,FFD,6222.4
20,MTMC,6396.8
20,NoTODS,5520.0
