num_circuit,dataset,average_utilization
2,FFD,0.8745423735125974
2,MILQ,0.8745423735125974
2,MTMC,0.8745423735125974
2,NoTODS,0.8
3,FFD,0.8681336679434686
3,MILQ,0.00021315529642435333
3,MTMC,0.8717257205175685
3,NoTODS,0.8
4,FFD,0.8745423735125974
4,MILQ,0.584446455188143
4,MTMC,0.8822081978708486
4,NoTODS,0.8
5,FFD,0.8735382023972147
5,MILQ,0.897766161178911
5,MTMC,0.8769614512471655
5,NoTODS,0.8
6,FFD,0.8745423735125974
6,MILQ,0.4707226533772399
6,MTMC,0.8799109360089734
6,NoTODS,0.8
7,FFD,0.8803628594445028
7,MILQ,0.00011587755758080674
7,MTMC,0.8777933613838244
7,NoTODS,0.8
8,FFD,0.8879420572463264
8,MILQ,0.8571408582089554
8,MTMC,0.8822081978708486
8,NoTODS,0.8
9,FFD,0.8801079703973234
9,MILQ,0.0005168689597226464
9,MTMC,0.8751886384187546
9,NoTODS,0.8
10,FFD,0.8834835355822879
10,MILQ,0.2007431030447741
10,MTMC,0.8834835355822879
10,NoTODS,0.8
11,FFD,0.8796877413773572
11,MILQ,0.8705763131329578
11,MTMC,0.8776153541792008
11,NoTODS,0.8
12,FFD,0.87736937995886
12,MILQ,0.8805067267354151
12,MTMC,0.8861983735424401
12,NoTODS,0.8
13,FFD,0.8825621276098603
13,MILQ,0.8784339606290288
13,MTMC,0.8809823710426119
13,NoTODS,0.8
14,FFD,0.8812512639793206
14,MILQ,0.886882075743652
14,MTMC,0.8792113468981666
14,NoTODS,0.8
15,FFD,0.878881053665016
15,MILQ,0.8843393876042647
15,MTMC,0.88046000318642
15,NoTODS,0.8
16,FFD,0.8766911919089037
16,MILQ,0.8779254958467536
16,MTMC,0.8805067267354151
16,NoTODS,0.8
17,FFD,0.8752997604273517
17,MILQ,0.8834739503380369
17,MTMC,0.8813653982874807
17,NoTODS,0.8
18,FFD,0.8842947726961696
18,MILQ,0.8814673781009024
18,MTMC,0.8814673781009024
18,NoTODS,0.8
19,FFD,0.879600006461931
19,MILQ,0.044769566505099084
19,MTMC,0.8842820366819371
19,NoTODS,0.8
20,FFD,0.8834835355822879
20,MTMC,0.8846893326181163
20,NoTODS,0.8
