num_qubits_each_circuit,dataset,average_responseTime
2,FFD,2560.0
2,MILQ,2560.0
2,MTMC,2560.0
2,NoTODS,54.31818181818182
3,FFD,10996.363636363636
3,MILQ,11291.297829636362
3,MTMC,10996.363636363636
3,NoTODS,3237.2272727272725
4,FFD,29623.272727272728
4,MILQ,23376.36395181818
4,MTMC,34062.545454545456
4,NoTODS,7433.727272727273
5,FFD,34650.181818181816
5,MILQ,-2625125.7454545456
5,MTMC,27040.0
5,NoTODS,18400.136363636364
6,FFD,32360.727272727272
6,MILQ,33902.545454545456
6,MTMC,26052.363636363636
6,NoTODS,39440.0
7,FFD,42410.181818181816
7,MILQ,22170.264348130906
7,MTMC,35741.09090909091
7,NoTODS,49120.0
8,FFD,56472.72727272727
8,MILQ,36251.63636363636
8,MTMC,45634.90909090909
8,NoTODS,57920.0
9,FFD,64933.818181818184
9,MILQ,457405642.26656157
9,MTMC,67931.63636363637
9,NoTODS,64683.63636363636
10,FFD,65824.0
10,MILQ,54556.85785145455
10,MTMC,64555.63636363636
10,NoTODS,208749.0909090909
