num_qubits_each_circuit,dataset,average_throughput
2,FFD,1122.4615384615386
2,MILQ,603.0769230769231
2,MTMC,1122.4615384615386
2,NoTODS,18.53846153846154
3,FFD,2963.6923076923076
3,MILQ,2363.076923076923
3,MTMC,2963.6923076923076
3,NoTODS,379.0769230769231
4,FFD,9257.846153846154
4,MILQ,4738.461538461538
4,MTMC,10331.076923076924
4,NoTODS,771.7692307692307
5,FFD,9794.461538461539
5,MILQ,1095272.7692307692
5,MTMC,10867.692307692309
5,NoTODS,1840.0
6,FFD,4897.2307692307695
6,MILQ,5506.688821873076
6,MTMC,5171.692307692308
6,NoTODS,3760.0
7,FFD,4909.538461538462
7,MILQ,5726.7692307692305
7,MTMC,5177.846153846154
7,NoTODS,4640.0
8,FFD,6704.0
8,MILQ,5955.692307692308
8,MTMC,6435.692307692308
8,NoTODS,5520.0
9,FFD,9478.153846153846
9,MILQ,8088.615384615385
9,MTMC,9746.461538461539
9,NoTODS,10014.76923076923
10,FFD,10014.76923076923
10,MILQ,8356.923076923076
10,MTMC,8941.538461538461
10,NoTODS,18419.69230769231
