num_qubits_each_circuit,dataset,average_turnaroundTime
2,FFD,5937.2307692307695
2,MILQ,4699.076923076923
2,MTMC,5937.2307692307695
2,NoTODS,151.57692307692307
3,FFD,18057.846153846152
3,MILQ,16977.236879230768
3,MTMC,18057.846153846152
3,NoTODS,4720.846153846154
4,FFD,44467.692307692305
4,MILQ,33548.307692307695
4,MTMC,49297.230769230766
4,NoTODS,10404.692307692309
5,FFD,51468.307692307695
5,MILQ,-92492966.76923077
5,MTMC,55224.61538461538
5,NoTODS,24704.115384615383
6,FFD,43958.153846153844
6,MILQ,49462.95817016923
6,MTMC,41405.53846153846
6,NoTODS,50720.0
7,FFD,58145.230769230766
7,MILQ,62477.53846153846
7,MTMC,48329.846153846156
7,NoTODS,63040.0
8,FFD,79894.15384615384
8,MILQ,54531.692307692305
8,MTMC,66465.23076923077
8,NoTODS,74480.0
9,FFD,90962.46153846153
9,MILQ,78414.76923076923
9,MTMC,92689.23076923077
9,NoTODS,91044.92307692308
10,FFD,94675.69230769231
10,MILQ,82408.97435897615
10,MTMC,85016.61538461539
10,NoTODS,252153.84615384616
