num_qubits_each_circuit,dataset,average_fidelity
2,FFD,0.838848995234557
2,MILQ,0.8414307492382797
2,MTMC,0.8324468182325037
2,NoTODS,0.9877073293325824
3,FFD,0.8649486968295417
3,MILQ,0.8516745268940414
3,MTMC,0.8639486388427544
3,NoTODS,0.948651017172689
4,FFD,0.8175434163356783
4,MILQ,0.8101347814907889
4,MTMC,0.8159167695829432
4,NoTODS,0.9525647669633496
5,FFD,0.7840323761846723
5,MILQ,0.7870534628325551
5,MTMC,0.7844371792361334
5,NoTODS,0.8603790176494626
6,FFD,0.9135579924679559
6,MILQ,0.9100958171223335
6,MTMC,0.9050050276001309
6,NoTODS,0.8732856613276823
7,FFD,0.8772235966428125
7,MILQ,0.8807415348943058
7,MTMC,0.8787346530617114
7,NoTODS,0.8705281417254336
8,FFD,0.8798714003318245
8,MILQ,0.8861645856394211
8,MTMC,0.8839881338618957
8,NoTODS,0.8563444671406976
9,FFD,0.8592817368332581
9,MILQ,0.857090587529767
9,MTMC,0.8615226969352556
9,NoTODS,0.8713041294105106
10,FFD,0.8540971023836017
10,MILQ,0.8451566374234214
10,MTMC,0.8614289514608368
10,NoTODS,0.8378615944760925
