num_qubits_each_circuit,dataset,makespan
2,FFD,3648.0
2,MILQ,3648.0
2,MTMC,3648.0
2,NoTODS,161.0
3,FFD,5504.0
3,MILQ,5504.0
3,MTMC,5504.0
3,NoTODS,1411.0
4,FFD,15200.0
4,MILQ,15200.0
4,MTMC,22176.0
4,NoTODS,3138.0
5,FFD,22176.0
5,MILQ,22176.0
5,MTMC,15200.0
5,NoTODS,7360.0
6,FFD,15360.0
6,MILQ,22176.0
6,MTMC,22176.0
6,NoTODS,15040.0
7,FFD,25824.0
7,MILQ,18848.0
7,MTMC,22176.0
7,NoTODS,18560.0
8,FFD,20704.0
8,MILQ,20704.0
8,MTMC,20704.0
8,NoTODS,22080.0
9,FFD,44352.0
9,MILQ,44352.0
9,MTMC,30400.0
9,NoTODS,37376.0
10,FFD,37376.0
10,MILQ,30400.0
10,MTMC,37376.0
10,NoTODS,74752.0
