num_qubits_each_circuit,dataset,scheduler_latency
2,FFD,0.0057697296142578125
2,MILQ,0.33509230613708496
2,MTMC,0.00605463981628418
2,NoTODS,0.30789613723754883
3,FFD,0.003534078598022461
3,MILQ,0.19911670684814453
3,MTMC,0.0026373863220214844
3,NoTODS,0.11371445655822754
4,FFD,0.0028715133666992188
4,MILQ,0.5624587535858154
4,MTMC,0.0035958290100097656
4,NoTODS,0.1410536766052246
5,FFD,0.003881216049194336
5,MILQ,0.20383810997009277
5,MTMC,0.0034885406494140625
5,NoTODS,0.14662384986877441
6,FFD,0.0034465789794921875
6,MILQ,28.6640408039093
6,MTMC,0.00484919548034668
6,NoTODS,0.11785078048706055
7,FFD,0.003536224365234375
7,MILQ,17.296196937561035
7,MTMC,0.0048770904541015625
7,NoTODS,0.11112427711486816
8,FFD,0.005129098892211914
8,MILQ,17.50295376777649
8,MTMC,0.005768299102783203
8,NoTODS,0.14918899536132812
9,FFD,0.004671335220336914
9,MILQ,17.110836505889893
9,MTMC,0.005905866622924805
9,NoTODS,0.1456737518310547
10,FFD,0.005339622497558594
10,MILQ,16.067951917648315
10,MTMC,0.005214214324951172
10,NoTODS,0.148054838180542
