circuit,backend,optimization_level,scheduling_method,depth_before,depth_after,time_after
case0,fake_athens,0,asap,6,13,9376
case1,fake_athens,0,asap,6,15,9376
case0,fake_athens,1,asap,6,13,9376
case1,fake_athens,1,asap,6,13,9216
case0,fake_athens,2,asap,6,12,9376
case1,fake_athens,2,asap,6,13,6624
case0,fake_athens,3,asap,6,12,8896
case1,fake_athens,3,asap,6,13,9216
case0,fake_belem,0,asap,6,13,15200
case1,fake_belem,0,asap,6,15,15520
case0,fake_belem,1,asap,6,13,11360
case1,fake_belem,1,asap,6,13,11520
case0,fake_belem,2,asap,6,12,11360
case1,fake_belem,2,asap,6,14,7936
case0,fake_belem,3,asap,6,12,11840
case1,fake_belem,3,asap,6,14,7936
case0,fake_ourense,0,asap,6,13,10272
case1,fake_ourense,0,asap,6,13,8544
case0,fake_ourense,1,asap,6,13,9792
case1,fake_ourense,1,asap,6,15,10272
case0,fake_ourense,2,asap,6,12,9792
case1,fake_ourense,2,asap,6,13,8544
case0,fake_ourense,3,asap,6,12,10272
case1,fake_ourense,3,asap,6,13,6432
case0,fake_yorktown,0,asap,6,12,6976
case1,fake_yorktown,0,asap,6,12,6976
case0,fake_yorktown,1,asap,6,12,6976
case1,fake_yorktown,1,asap,6,12,6976
case0,fake_yorktown,2,asap,6,11,7296
case1,fake_yorktown,2,asap,6,12,7456
case0,fake_yorktown,3,asap,6,11,7296
case1,fake_yorktown,3,asap,6,12,7456
